loc_x,loc_y,seconds_remaining,shot_distance,shot_made_flag,shot_zone_range,shot_zone,shot_zone2,hot_hand,hot_hand_ind
-157,0,22,15,0,8-16 ft.,4,1200,nil,2
0,0,19,0,1,Less Than 8 ft.,2,600,nil,2
-145,-11,32,14,0,8-16 ft.,4,1200,heat,3
0,0,52,0,1,Less Than 8 ft.,2,600,nil,2
-65,108,12,12,1,8-16 ft.,4,1200,heat,3
-94,238,56,25,0,24+ ft.,8,5000,nil,2
121,127,0,17,1,16-24 ft.,6,2500,heat,3
-67,110,9,12,1,8-16 ft.,4,1200,heat,3
-94,4,44,9,0,8-16 ft.,4,1200,heat,3
62,192,48,20,0,16-24 ft.,6,2500,nil,2
-117,226,50,25,1,24+ ft.,8,5000,nil,2
-132,97,29,16,0,16-24 ft.,6,2500,nil,2
3,144,8,14,0,8-16 ft.,4,1200,heat,3
134,127,4,18,0,16-24 ft.,6,2500,nil,2
-16,110,57,11,1,8-16 ft.,4,1200,nil,2
-109,150,47,18,1,16-24 ft.,6,2500,nil,2
-58,196,4,20,0,16-24 ft.,6,2500,nil,2
-183,186,30,26,0,24+ ft.,8,5000,heat,3
